국가,국가(원어),광역,광역(원어),지구,지구(원어),마을/AOC,마을/AOC(원어),생산자,생산자(원어)
프랑스,France,보르도,Bordeaux,부르 & 블라이,Bourg & Blaye,코트 드 부르,Cotes de Bourg,샤토 타이악 퀴베 프레스티주,Chateau Tayac Cuvee Prestige
프랑스,France,보르도,Bordeaux,부르 & 블라이,Bourg & Blaye,코트 드 블라이,Cotes de Blaye,,
프랑스,France,보르도,Bordeaux,앙트르 되 메르,Entre-Deux-Mers,앙트르 되 메르,Entre-Deux-Mers,,
프랑스,France,부르고뉴,Burgundy,샤블리,Chablis,샤블리,Chablis,도멘 도비사,Domaine Dauvissat
프랑스,France,부르고뉴,Burgundy,샤블리,Chablis,샤블리,Chablis,도멘 라로슈,Domaine Laroche
프랑스,France,부르고뉴,Burgundy,샤블리,Chablis,샤블리,Chablis,도멘 라브노,Domaine Raveneau
프랑스,France,부르고뉴,Burgundy,샤블리,Chablis,샤블리,Chablis,장 마르크 브로카르,Jean-Marc Brocard
프랑스,France,부르고뉴,Burgundy,샤블리,Chablis,샤블리,Chablis,윌리엄 페브르,William Fevre
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,마르사네,Marsannay,도멘 브뤼노 클레르,Domaine Bruno Clair
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,픽생,Fixin,,
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,주브레 샹베르탱,Gevrey-Chambertin,도멘 아르망 루소,Domaine Armand Rousseau
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,주브레 샹베르탱,Gevrey-Chambertin,도멘 바슐레,Domaine Bachelet
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,주브레 샹베르탱,Gevrey-Chambertin,도멘 드니 모르테,Domaine Denis Mortet
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,주브레 샹베르탱,Gevrey-Chambertin,도멘 푸리에,Domaine Fourrier
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,주브레 샹베르탱,Gevrey-Chambertin,도멘 트라페,Domaine Trapet
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,모레 생 드니,Morey-Saint-Denis,도멘 뒤작,Domaine Dujac
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,모레 생 드니,Morey-Saint-Denis,도멘 위베르 리니에,Domaine Hubert Lignier
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,모레 생 드니,Morey-Saint-Denis,도멘 퐁소,Domaine Ponsot
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,샹볼 뮈지니,Chambolle-Musigny,도멘 콩트 조르주 드 보귀에,Domaine Comte Georges de Vogue
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,샹볼 뮈지니,Chambolle-Musigny,도멘 조르주 루미에,Domaine Georges Roumier
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,샹볼 뮈지니,Chambolle-Musigny,도멘 뮈니에,Domaine Mugnier
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,부조,Vougeot,,
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,본 로마네,Vosne-Romanee,도멘 안 그로,Domaine Anne Gros
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,본 로마네,Vosne-Romanee,도멘 르로이,Domaine Leroy
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,본 로마네,Vosne-Romanee,도멘 메오 카뮈제,Domaine Meo-Camuzet
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,본 로마네,Vosne-Romanee,도멘 드 라 로마네 콩티,Domaine de la Romanee-Conti
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,뉘 생 조르주,Nuits-Saint-Georges,도멘 페블레,Domaine Faiveley
프랑스,France,부르고뉴,Burgundy,코트 드 뉘,Cote de Nuits,뉘 생 조르주,Nuits-Saint-Georges,페블레,Faiveley
프랑스,France,부르고뉴,Burgundy,코트 드 본,Cote de Beaune,알록스 코르통,Aloxe-Corton,도멘 보노 뒤 마르트레,Domaine Bonneau du Martray
프랑스,France,부르고뉴,Burgundy,코트 드 본,Cote de Beaune,페르낭 베르줄레스,Pernand-Vergelesses,,
프랑스,France,부르고뉴,Burgundy,코트 드 본,Cote de Beaune,사비니 레 본,Savigny-les-Beaune,,
프랑스,France,부르고뉴,Burgundy,코트 드 본,Cote de Beaune,본,Beaune,알베르 비쇼,Albert Bichot
프랑스,France,부르고뉴,Burgundy,코트 드 본,Cote de Beaune,본,Beaune,부샤르 페레 에 피스,Bouchard Pere et Fils
프랑스,France,부르고뉴,Burgundy,코트 드 본,Cote de Beaune,본,Beaune,도멘 드 라 부주레,Domaine de la Vougeraie
프랑스,France,부르고뉴,Burgundy,코트 드 본,Cote de Beaune,본,Beaune,조셉 드루앙,Joseph Drouhin
프랑스,France,부르고뉴,Burgundy,코트 드 본,Cote de Beaune,본,Beaune,루이 자도,Louis Jadot
프랑스,France,부르고뉴,Burgundy,코트 드 본,Cote de Beaune,본,Beaune,루이 라투르,Louis Latour
프랑스,France,부르고뉴,Burgundy,코트 드 본,Cote de Beaune,포마르,Pommard,,
