canonical_id,type,name_ko,name_ko_primary,is_alias,name_en,name_display,tier,key_ko,key_en,key_len,region_group,ko_source,wikidata
gra00297,grape,베르데초,베르데호,1,Verdejo,Verdejo,,베르데조,verdejo,8,,alias,
gra00299,grape,베르두초,베르두초,0,Verduzzo,Verduzzo,,베르두조,verduzzo,8,,manual,
gra00298,grape,베르디키오,베르디키오,0,Verdicchio,Verdicchio,,베르디기ᅩ,verdicchio,9,,manual,
gra00298,grape,베르디끼오,베르디키오,1,Verdicchio,Verdicchio,,베르디기ᅩ,verdicchio,9,,alias,
gra00298,grape,베르딕키오,베르디키오,1,Verdicchio,Verdicchio,,베르디ᄀ기ᅩ,verdicchio,10,,alias,
gra00300,grape,베르멘티노,베르멘티노,0,Vermentino,Vermentino,,베르메ᄂ디노,vermentino,11,,manual,
gra00300,grape,롤,베르멘티노,1,Vermentino,Vermentino,,로ᄅ,vermentino,3,,alias,
gra00305,grape,베스폴리나,베스폴리나,0,Vespolina,Vespolina,,베스보ᄅ리나,vespolina,11,,manual,
gra00026,grape,벨로네,벨로네,0,Bellone,Bellone,,베ᄅ로네,bellone,7,,manual,
gra00314,grape,벨쉬리슬링,벨쉬리슬링,0,Welschriesling,Welschriesling,,베ᄅ쉬리스ᄅ링,welschriesling,13,,added,
gra00314,grape,웰쉬리슬링,벨쉬리슬링,1,Welschriesling,Welschriesling,,ᅰᄅ쉬리스ᄅ링,welschriesling,12,,alias,
gra00083,grape,보나르다,보나르다,0,Douce noir,Douce noir,,보나르다,douce noir,8,,manual,
gra00312,grape,보도린,보도린,0,Vodorin,Vodorin,,보도리ᄂ,vodorin,7,,wikidata,
gra00031,grape,보발,보발,0,Bobal,Bobal,,보바ᄅ,bobal,5,,manual,
gra00036,grape,보발레,보발레,0,Bovale,Bovale,,보바ᄅ레,bovale,7,,manual,
gra00034,grape,보스코,보스코,0,Bosco,Bosco,,보스고,bosco,6,,manual,
gra00033,grape,봄비노 네로,봄비노 네로,0,Bombino Nero,Bombino Nero,,보ᄆ비노네로,bombino nero,11,,manual,
gra00032,grape,봄비노 비앙코,봄비노 비앙코,0,Bombino Bianco,Bombino Bianco,,보ᄆ비노비ᅡᆼ고,bombino bianco,13,,manual,
gra00035,grape,부르불랑,부르불랑,0,Bourboulenc,Bourboulenc,,부르부ᄅ랑,bourboulenc,10,,manual,
gra00037,grape,브라케토,브라케토,0,Brachetto,Brachetto,,브라게도,brachetto,8,,manual,
gra00030,grape,블라우프렌키슈,블라우프렌키슈,0,Blaufränkisch,Blaufränkisch,,브ᄅ라ᅮ브레ᄂ기수,blaufrankisch,15,,manual,
gra00030,grape,렘버거,블라우프렌키슈,1,Blaufränkisch,Blaufränkisch,,레ᄆ버거,blaufrankisch,7,,alias,
gra00030,grape,블라우프랜키시,블라우프렌키슈,1,Blaufränkisch,Blaufränkisch,,브ᄅ라ᅮ브레ᄂ기시,blaufrankisch,15,,alias,
gra00029,grape,블랙 이글,블랙 이글,0,Black Eagle,Black Eagle,,브ᄅ레기그ᄅ,black eagle,10,,auto,
gra00306,grape,비달 블랑,비달 블랑,0,Vidal Blanc,Vidal Blanc,,비다ᄅ브ᄅ랑,vidal blanc,11,,manual,
gra00306,grape,비달,비달 블랑,1,Vidal Blanc,Vidal Blanc,,비다ᄅ,vidal blanc,5,,alias,
gra00027,grape,비앙코 달레사노,비앙코 달레사노,0,Bianco d'Alessano,Bianco d'Alessano,,비ᅡᆼ고다ᄅ레사노,bianco dalessano,15,,manual,
gra00028,grape,비앙콜렐라,비앙콜렐라,0,Biancolella,Biancolella,,비ᅡᆼ고ᄅ레ᄅ라,biancolella,12,,manual,
gra00307,grape,비오니에,비오니에,0,Viognier,Viognier,,비ᅩ니ᅦ,viognier,6,,manual,
gra00307,grape,비오녜,비오니에,1,Viognier,Viognier,,비ᅩ네,viognier,5,,alias,
gra00307,grape,비오니에르,비오니에,1,Viognier,Viognier,,비ᅩ니ᅦ르,viognier,8,,alias,
gra00311,grape,비토브스카,비토브스카,0,Vitovska,Vitovska,,비도브스가,vitovska,10,,manual,
gra00240,grape,사그란티노,사그란티노,0,Sagrantino,Sagrantino,,사그라ᄂ디노,sagrantino,11,,manual,
gra00240,grape,싸그란띠노,사그란티노,1,Sagrantino,Sagrantino,,사그라ᄂ디노,sagrantino,11,,alias,
gra00315,grape,사렐로,사렐로,0,Xarel·lo,Xarel·lo,,사레ᄅ로,xarel lo,7,,manual,
gra00315,grape,자렐로,사렐로,1,Xarel-lo,Xarel-lo,,자레ᄅ로,xarello,7,,added,
